fecha,oficial,blue
2020-07-30,76,136
2020-07-31,76,136
2020-08-01,76,136
2020-08-02,76,136
2020-08-03,77,136
2020-08-04,77,128
2020-08-05,77,129
2020-08-06,77,132
2020-08-07,77,133
2020-08-08,77,133
2020-08-09,77,133
2020-08-10,77,131
2020-08-11,77,131
2020-08-12,77,132
2020-08-13,77,133
2020-08-14,77,132
2020-08-15,77,132
2020-08-16,77,132
2020-08-17,77,132
2020-08-18,78,132
2020-08-19,78,134
2020-08-20,78,136
2020-08-21,78,138
2020-08-22,78,138
2020-08-23,78,138
2020-08-24,78,137
2020-08-25,78,137
2020-08-26,78,137
2020-08-27,78,138
2020-08-28,78,136
2020-08-29,78,136
2020-08-30,78,136
2020-08-31,78,136
2020-09-01,78,133
2020-09-02,79,133
2020-09-03,79,134
2020-09-04,79,132
2020-09-05,79,132
2020-09-06,79,132
2020-09-07,79,131
2020-09-08,79,131
2020-09-09,79,131
2020-09-10,79,131
2020-09-11,79,131
2020-09-12,79,131
2020-09-13,79,131
2020-09-14,79,132
2020-09-15,79,131
2020-09-16,80,145
2020-09-17,80,141
2020-09-18,80,140
2020-09-19,80,140
2020-09-20,80,140
2020-09-21,80,141
2020-09-22,80,144
2020-09-23,80,145
2020-09-24,80,147
2020-09-25,80,145
2020-09-26,80,145
2020-09-27,80,145
2020-09-28,80,145
2020-09-29,80,146
2020-09-30,81,146
2020-10-01,81,147
2020-10-02,82,150
2020-10-03,82,150
2020-10-04,82,150
2020-10-05,83,150
2020-10-06,83,152
2020-10-07,83,155
2020-10-08,83,158
2020-10-09,83,167
2020-10-10,83,167
2020-10-11,83,167
2020-10-12,83,167
2020-10-13,83,166
2020-10-14,83,167
2020-10-15,83,171
2020-10-16,83,178
2020-10-17,83,178
2020-10-18,83,178
2020-10-19,83,181
2020-10-20,83,180
2020-10-21,83,183
2020-10-22,84,190
2020-10-23,84,195
2020-10-24,84,195
2020-10-25,84,195
2020-10-26,84,190
2020-10-27,84,181
2020-10-28,84,178
2020-10-29,84,175
2020-10-30,84,169
2020-10-31,84,169
2020-11-01,84,169
2020-11-02,84,168
2020-11-03,85,165
2020-11-04,85,161
2020-11-05,85,157
2020-11-06,85,157
2020-11-07,85,157
2020-11-08,85,157
2020-11-09,85,151
2020-11-10,85,149
2020-11-11,85,162
2020-11-12,85,167
2020-11-13,85,172
2020-11-14,85,172
2020-11-15,85,172
2020-11-16,86,162
2020-11-17,86,163
2020-11-18,86,164
2020-11-19,86,163
2020-11-20,86,161
2020-11-21,86,161
2020-11-22,86,161
2020-11-23,86,161
2020-11-24,86,160
2020-11-25,86,158
2020-11-26,87,157
2020-11-27,87,156
2020-11-28,87,156
2020-11-29,87,156
2020-11-30,87,155
2020-12-01,87,153
2020-12-02,87,153
2020-12-03,87,151
2020-12-04,87,150
2020-12-05,87,150
2020-12-06,87,150
2020-12-07,87,150
2020-12-08,87,150
2020-12-09,87,149
2020-12-10,88,146
2020-12-11,88,148
2020-12-12,88,148
2020-12-13,88,148
2020-12-14,88,151
2020-12-15,88,151
2020-12-16,88,150
2020-12-17,88,149
2020-12-18,88,150
2020-12-19,88,150
2020-12-20,88,150
2020-12-21,89,150
2020-12-22,89,152
2020-12-23,89,159
2020-12-24,89,159
2020-12-25,89,159
2020-12-26,89,159
2020-12-27,89,159
2020-12-28,89,164
2020-12-29,90,165
2020-12-30,90,166
2020-12-31,90,166
2021-01-01,90,166
2021-01-02,90,166
2021-01-03,90,166
2021-01-04,90,165
2021-01-05,91,160
2021-01-06,91,160
2021-01-07,91,162
2021-01-08,91,161
2021-01-09,91,161
2021-01-10,91,161
2021-01-11,91,159
2021-01-12,91,159
2021-01-13,91,160
2021-01-14,91,159
2021-01-15,91,159
2021-01-16,91,159
2021-01-17,91,159
2021-01-18,91,159
2021-01-19,92,157
2021-01-20,92,156
2021-01-21,92,156
2021-01-22,92,156
2021-01-23,92,156
2021-01-24,92,156
2021-01-25,92,156
2021-01-26,92,156
2021-01-27,92,154
2021-01-28,93,154
2021-01-29,93,153
2021-01-30,93,153
2021-01-31,93,153
2021-02-01,93,153
2021-02-02,93,153
2021-02-03,93,153
2021-02-04,93,150
2021-02-05,93,151
2021-02-06,93,151
2021-02-07,93,151
2021-02-08,94,151
2021-02-09,94,152
2021-02-10,94,151
2021-02-11,94,149
2021-02-12,94,150
2021-02-13,94,150
2021-02-14,94,150
2021-02-15,94,150
2021-02-16,94,150
2021-02-17,94,149
2021-02-18,94,148
2021-02-19,94,148
2021-02-20,94,148
2021-02-21,94,148
2021-02-22,95,147
2021-02-23,95,147
2021-02-24,95,145
2021-02-25,95,143
2021-02-26,95,145
2021-02-27,95,145
2021-02-28,95,145
2021-03-01,95,147
2021-03-02,96,145
2021-03-03,96,145
2021-03-04,96,144
2021-03-05,96,144
2021-03-06,96,144
2021-03-07,96,144
2021-03-08,96,144
2021-03-09,96,144
2021-03-10,96,143
2021-03-11,96,143
2021-03-12,96,142
2021-03-13,96,142
2021-03-14,96,142
2021-03-15,97,146
2021-03-16,97,143
2021-03-17,97,144
2021-03-18,97,144
2021-03-19,97,144
2021-03-20,97,144
2021-03-21,97,144
2021-03-22,97,143
2021-03-23,97,143
2021-03-24,97,143
2021-03-25,97,143
2021-03-26,98,142
2021-03-27,98,142
2021-03-28,98,142
2021-03-29,98,142
2021-03-30,98,141
2021-03-31,98,141
2021-04-01,98,141
2021-04-02,98,141
2021-04-03,98,141
2021-04-04,98,141
2021-04-05,98,140
2021-04-06,98,140
2021-04-07,98,139
2021-04-08,98,140
2021-04-09,98,140
2021-04-10,98,140
2021-04-11,98,140
2021-04-12,98,141
2021-04-13,98,142
2021-04-14,98,143
2021-04-15,98,143
2021-04-16,99,142
2021-04-17,99,142
2021-04-18,99,142
2021-04-19,99,143
2021-04-20,99,143
2021-04-21,99,144
2021-04-22,99,147
2021-04-23,99,152
2021-04-24,99,152
2021-04-25,99,152
2021-04-26,99,158
2021-04-27,99,161
2021-04-28,99,162
2021-04-29,99,154
2021-04-30,99,150
2021-05-01,99,150
2021-05-02,99,150
2021-05-03,99,153
2021-05-04,99,154
2021-05-05,99,151
2021-05-06,99,151
